Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Data Science - Internship/Working Student (m/f),-1,"Data Science at Wayfair is a diverse group of people from all over the world, who use a wide range of skills across math, science and engineering to solve problems with data. Mainly the work encompasses data mining, algorithm design, algorithm platform engineering and influencing business decisions. The department covers three main areas:
Voice of Customer: We develop NLP and deep learning algorithms to discover hidden patterns in the large unstructured customer review data and create automated feedback loops to our operations team
Marketing: Wayfair invests hundreds of millions of dollars in annual marketing spend, and we optimize the return using attribution, segmenting, and forecasting
Operations: We algorithmically enhance and automate Wayfairs behind-the-scenes operational capabilities by teaching machines to perform human-like operations on our huge catalogue
Fraud Detection: We apply state of the art machine learning algorithms to create scalable and real-time fraud detection system to protect our site from fraudulent purchase while minimizing the interruptions to our customers
Check out some of our work here: https://tech.wayfair.com/team-data-science/

What You'll Do
Support one of our Data Science teams with their modelling work
Have responsibility for part of a larger project
Wrangle data from multiple sources including sales, customer, and click-stream databases
Conduct analysis and predictive modelling to uncover learnings from data
Build and test prescriptive algorithms to automate decision-making
What You'll Need
Some initial exposure to quantitative modelling/machine learning, e.g. within MA or PhD studies
Proficiency in Python and SQL
Pragmatic approach to problem-solving
Looking to gain some industry experience as part of your university course or as an entry opportunity
Desire to always be learning, and a collaborative team-player attitude!
*This is Not a remote/WFH position.

Wayfair is one of the worlds largest online destinations for the home. Whether you work in our global headquarters in Boston or Berlin, or in our warehouses or offices throughout the world, were reinventing the way people shop for their homes. Through our commitment to industry-leading technology and creative problem-solving, we are confident that Wayfair will be home to the most rewarding work of your career. If youre looking for rapid growth, constant learning, and dynamic challenges, then youll find that amazing career opportunities are knocking.

No matter who you are, Wayfair is a place you can call home. Were a community of innovators, risk-takers, and trailblazers who celebrate our differences, and know that our unique perspectives make us stronger, smarter, and well-positioned for success. We value and rely on the collective voices of our employees, customers, community, and suppliers to help guide us as we build a better Wayfair and world for all. Every voice, every perspective matters. Thats why were proud to be an equal opportunity employer. We do not discriminate on the basis of race, color, ethnicity, ancestry, religion, sex, national origin, sexual orientation, age, citizenship status, marital status, disability, gender identity, gender expression, veteran status, or genetic information.

Apply Now",3.2,"Wayfair
3.2",Berlin,"Boston, MA",10000+ employees,2002,Company - Public,Home Furniture & Housewares Stores,Retail,$5 to $10 billion (USD),"Amazon, One Kings Lane, Crate and Barrel"
Team Lead Data Engineer (Scala),-1,"Adjust is a global B2B SaaS company, specializing in mobile measurement, fraud prevention and cybersecurity. Born at the heart of the mobile economy, more than 30,000 apps have now implemented Adjust's solutions to secure their budgets and improve performance. The globally operating company has 16 offices around the world, from Tokyo to San Francisco and in 2019 secured one of the year's largest funding rounds in Europe to date, raising $227 million.

Your role:

As Team Lead Data Engineer (Scala) you will be responsible for the team which ensures the rapid ingestion of data into our retargeting platform, called Audience Builder. This is Adjust's own segmentation tool, which allows our clients to build detailed audience segments for their marketing campaigns using the data we track for their apps. The Audience Builder Team helps us to scale from tens of TBs into multiple PBs of data, while ensuring maintainable and performant code.

Your responsibilities:
Coach, grow and develop the Audience Builder Team, a team of Data Engineers working with Scala and Elixir
Design, review, and ensure scalability to hundreds of thousands of events ingested per second
Implement, test, and document components to ingest data to support new features
Provide escalation support for the data ingestion portion of the platform
Closely collaborate with our product team to integrate external providers/partners in the platform as well as with our operations team to develop maintenance and operational procedures, as well as escalation paths
What you bring:
Proven experience managing engineering teams (min. 1-2 years)
Experience in developing a distributed environment
Solid knowledge of Scala and Spark
Flink and PostgreSQL experience is a plus
Curious to learn new technologies (e.g. Elixir)
Team player with empathy and good leadership skills
What's in it for you:
Opportunity to make an impact on the ad-tech industry working for a forward-thinking leader in the space
Collaborative environment with a focus on continuous learning (incl. budget for ongoing professional development)
A three-week onboarding program like no other, where you'll learn the ins-and-outs of our product in our Berlin headquarters
Flexible work schedule and vacation policy
International, diverse teams with a strong focus on transparency, feedback and fun
Regular team events and annual company retreats in the sun
Free language classes
Relocation and visa assistance
Depending on office location, additional perks like weekly team brunch, fully stocked kitchens, fitness memberships, additional health insurance and childcare program
More details about our company culture and perks can be found on our career page, or have a sneak peek of our office in Berlin.

Interested? Let's Talk!",4.6,"Adjust
4.6",Berlin,"Berlin, Germany",201 to 500 employees,2012,Company - Private,Advertising & Marketing,Business Services,$50 to $100 million (USD),-1
Data Scientist,-1,"Imagine a world where electronics engineers spend their time focusing on what a human brain is really good at: Creativity and Innovation! Everyone should be able to create new technologies instead of going through a tedious engineering process.

A lot of time is wasted on thinking over the same old problems, doing loads of calculations, carefully reading datasheets and selecting electronic components. All these can be off-loaded to complex algorithms and AI.

Celus Engineering Platform revolutionises the industry by challenging the status quo. Our software allows to automatically select electronic components, generate schematics as well as PCB-layouts. As a result, it creates all the files an engineer requires.

At Celus we believe that creativity is for humans and work is for machines.

Tasks
Research and develop statistical learning models for data analysis
Collaborate with product management and engineering departments to understand company needs and devise possible solutions
Implement new statistical or other mathematical methodologies as needed for specific models or analysis
Automate data extraction from documents
Develop Supervised learning models
Develop Reinforcement learning models
Solve geometric problems
Develop processes and tools to monitor and analyze model performance and data accuracy.
Requirements
4+ years of experience manipulating data sets and building statistical models
Masters or PHD in Statistics, Mathematics, Computer Science or another quantitative field
Knowledge and experience in statistical and data mining techniques (GLM/Regression, Random Forest, Boosting, Trees, text mining, etc.)
Experience using statistical computer languages (Python, etc.) to manipulate data and draw insights from large data sets
Knowledge of C/C++ and/or Matlab
Experience creating and using advanced ML algorithms (semi-/supervised, reiforcement learning)
Experience working with Deep Learning frameworks (TensorFlow, Keras, PyTorch etc.)
Experience using web services (Sagemaker, S3, Redshift etc.)
Strong problem-solving skills with an emphasis on product development
Experience working with and creating data architectures
Excellent written and verbal communication skills for coordinating across teams
A drive to learn and master new technologies and techniques
Benefits
Experience an agile, innovative, and open-minded working atmosphere in a great international team with flat hierarchy and fast decision-making process
A chance to play a decisive role in shaping Celus Engineering Platform and have a direct impact on the electronics industry
Flexible working hours, home office opportunities, as well as 24 vacation days and paid Christmas holidays
Help with the visa application and relocation allowance
German language classes
Knowledge sharing sessions, numerous workshops and corporate library (offline and online)
Personal development opportunities (courses, lectures, conferences etc.) with up to 1000 EUR yearly budget
Best hunter referral bonuses
Travel insurance
Regular team on-site and off-site events (hiking, Christmas market, Oktoberfest)
Gym membership and different seasonal sport activities
Monthly metro ticket or parking spaces
Snacks, soft drinks and coffee
Are you ready for turning the industry upside down? Join us now!",5.0,"Celus
5.0",Garching b.München,"Garching b.Munchen, Germany",1 to 50 employees,2018,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1
Data Scientist,-1,"Zur Hays-Jobsuche My duties
Become part of a multi-national team across Europe and report to the Head of Business Performance Western & Central Europe
Responsible for data science solutions for productive use
Data Mining and Data Analyzing from internal and external sources
Development of custom data models and algorithms using statistical tools and established stochastic processes and operations
Conduct hypothesis driven exploraty analysis and select the most appropriate modeling techniques
Predictive Modeling to increase and optimize revenue generation, data insights, customer experiences and other business outcomes
Assess the effectiveness and accuracy of new data gathering techniques
My qualifications
Degree in statistics, computer science, mathematics, operations research, economics or similar
Experienced in data-based decision-making or quantitative analysis
Out-of-the-box-thinker with very good analytical and quantitative skills
Knowledge with extracting and aggregating data from large data sets using SQL or similar tools
Experience with statistical software as Python, R or others
Team Player with the ability to work independently
My benefits
A dynamic, fast growing, multi-national company with flat hierarchies
The opportunity to make a massive impact for our clients` business
A good working atmosphere in a highly-motivated team
A green field project
About Hays IT specialists hold all the cards: for its customers in industry and the public sector, Hays is looking for motivated employees who like looking at the bigger picture and growing with new challenges. We make sure that you benefit from our many years of experience in IT recruitment and will find you the right role to suit your skills and interests all completely free of charge to you. Register with us and reap the benefits of job offers that are both interesting and relevant to your skills and experience. My contact at Hays

My contact person
Heike Schilling

Reference number
470925/1

Contact
E-Mail: heike.schilling@hays.de

Stellenanzeige teilen und drucken

var escapedPosition = encodeURIComponent('Data Scientist (m/f/d)'.replace('\n','')); var escapedContractType = 'Permanent employment with our customer'.replace('\n',''); var escapedLocation = 'Nurenberg'.replace('\n',''); var summary = encodeURIComponent(escapedContractType + ' ' + escapedLocation); var linkedInURI = encodeURIComponent(window.location.href); var encoded_linkedin_uri = 'http://www.linkedin.com/shareArticle?mini=true&url=' + linkedInURI + '&title=' + escapedPosition + '&summary=' + summary; $("".hays__job__details__share__button--linkedin"").attr(""href"", encoded_linkedin_uri); var escapedPosition = 'Data Scientist (m/f/d)'.replace('\n',''); var escapedContractType = 'Permanent employment with our customer'.replace('\n',''); var escapedLocation = 'Nurenberg'.replace('\n',''); var twitterURI = escapedPosition + ' ' + escapedContractType + ' ' + escapedLocation + ' ' + window.location.href + ' @Hays_DACH'; var encoded_twitter_uri = 'https://twitter.com/intent/tweet?text='+encodeURIComponent(twitterURI); $("".hays__job__details__share__button--twitter"").attr(""href"", encoded_twitter_uri);",3.8,"Hays
3.8",Bodensee,"London, United Kingdom",5001 to 10000 employees,1968,Company - Private,-1,-1,$1 to $2 billion (USD),"PageGroup, Robert Half, Robert Walters"
Data Scientist,-1,"REE is redefining how mobility is designed, from the wheel up. If you have a passion for electric vehicle, big-data, analytics and machine learning Your place might be with us!

We are looking for a data scientist, to join our data analytics team, with a passion for getting real-world value out of collected data from our vehicle fleets around the world.

Responsibilities:

· Take ownership on vehicle sensor data output - Create tools, organize and analyze data to provide meaningful insights

· Create statistical analysis algorithms systems such as anomaly detection, optimization processes, and more

· Visualize and present data and insights, convey results and conclusions to clients and R&D team

· Research and extend the companys data from 3rd party sources from the automotive field

Website:
REE

· Bachelors degree in computer science, software engineering or computer engineering.

· At least a 5-year experience in data science

· Work in the R&D division and collaborate with technical professionals (IT, Elec. Eng., Mech. Eng., SW Eng., etc.)

· Experience with analytical tools and data science toolkit R, Python, MATLAB, etc.

· Good understanding and experience with ML systems

· Experience with big data systems

· Advantage - experience with automotive data, vehicle dynamics and other metrics.

Nice to have

· hands-on approach Enjoy coding, prototyping, AND working on an electric vehicle system

· Advantage past work experience in the automotive industry",5.0,"REE
5.0",Germany,"Tel Aviv-Yafo, Israel",51 to 200 employees,2018,Company - Private,Transportation Equipment Manufacturing,Manufacturing,Unknown / Non-Applicable,-1
Data Scientist,-1,"Aufgabengebiet
Nutzung von prädiktiven und präskriptiven Methoden zur Auswertung und Aufbereitung großer Datenmengen
Bestimmung der richtigen Methoden und Konzepte sowie Aufbau eines neuronalen Netzes zur Verbesserung der Planungsqualität der Eigenschaftsplanung
Durchführung von multivariaten Analysen strukturierter, teilstrukturierter sowie unstrukturierter Massendaten (insbes. Data Mining)
Datenextraktion und Datenaggregation, Aufbereitung interner und externer Unternehmensdaten sowie Visualisierung der Analyseergebnisse
Erstellung von Anforderungen zur Überführung der Use-Cases in operative Systeme und der Definition von Schnittstellen
Voraussetzung
Erfolgreich abgeschlossenes Studium der Fachrichtung Informatik, Wirtschaftsinformatik oder einer vergleichbaren Fachrichtung, idealerweise mit dem Schwerpunkt Data Science oder Big Data
Fundierte Kenntnisse in der Datenanalyse sowie in den Bereichen neuronale Netze und künstliche Intelligenz
Praktische Erfahrung mit statistischen Programmen (R, SAS, Stata, RapidMiner), Datenbanken (SQL), Skriptsprachen (Python, JavaScript) sowie Datenvisualisierung (Tableau, QlikView, Power BI)
Sehr gute analytische Fähigkeiten sowie eine schnelle Auffassungsgabe
Sehr gute Deutsch- und sehr gute Englischkenntnisse in Wort und Schrift
UNSERE SONDERAUSSTATTUNG
Überfachliches Weiterbildungsangebot der Konzernakademie
Branchenübliche und attraktive Vergütungsstrukturen
Betriebliche Altersvorsorge",3.4,"M Plan
3.4",Stuttgart,"Gummersbach, Germany",501 to 1000 employees,1994,Company - Private,Building & Personnel Services,Business Services,$50 to $100 million (USD),-1
Data Scientist,-1,"We are looking to hire a highly creative Data Scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges and communicate with interested parties.

To succeed in this position; you need to be curious, creative and tech savvy. You need to stay up to date with data programming software and apps, have outstanding understanding of statistics and mathematics, and be proficient in writing algorithms. Top candidates will be persistent, and have excellent analytical and problem-solving skills.
Data Scientist Responsibilities:
Having meetings with team members regarding projects.
Collecting and interpreting data.
Automating and integrating processes.
Researching solutions to overcome data analytics challenges.
Developing complex mathematical models that integrate business rules and requirements.
Creating machine learning models.
Communicating and meeting with engineers, IT teams and other interested parties.
Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.
Data Scientist Requirements:
A MSc or PhD degree in Applied Mathematics or Statistics.
5+ years industry experience.
Advanced coursework in machine learning and programming.
Experience using data visualization tools.
Experience with data querying languages, and statistical or mathematical software.
Proficient in writing algorithms, and knowing when to apply them.
Excellent understanding of statistics, multi-variable calculus and linear algebra.
Outstanding communication skills.
Job Type: Full-time

Salary: 39,000.00€ to 76,000.00€ /year

Work Remotely:
Temporarily due to COVID-19",-1,Futurios.com,Berlin,"Newbury, United Kingdom",1 to 50 employees,-1,Self-employed,-1,-1,Unknown / Non-Applicable,-1
Data Scientist,-1,"Im hiring a Data Scientist for a Computer Vision company in Berlin who specialises in Medical Images.

They have a large data set of image data and have built a product that will help medical practitioners to better asses how to treat a patient by using Computer Vision, their software has proven to help professionals make fast and more accurate diagnostics.

The product also stores all the relevant documentation based on the image it is shown.

You will join a small but highly talented team of 8 professionals including their CEO, Chief Medical Officer, 2 software engineers, 3 data scientists and 1 Researcher.

Currently looking for 1 Data Scientist and 1 Machine Learning Engineer immediately. If all goals are met, will be looking to hire and additional 5 Data Scientists in 2020.

Tasks
Grow and to add new you use cases.
Re-build and overhaul the current product
Requirements
Acting as a Full Stack Data Scientist and production algorithms
Using docker to connect and production algorithms
Building and developing annotation image pipelines
Programming with Python, adding use cases and using the Python tech stack
Working with lots of inferences on Google
EU Citizenship is Mandatory",5.0,"Alldus
5.0",Berlin,"Dublin, Ireland",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
"Data Scientist (all genders) - Datenbankentwicklung / BI, IT",-1,"Your role:


As a Data Scientist (all genders) you will strengthen our digital business unit, which drives the digital transformation for our company on a global level and across business divisions – leveraging cutting edge technology to reach new customers, improve operational efficiency, and to create entirely new business models. The Data Scientist (all genders) is expected to contribute to projects individually in a mostly self dependent way with little guidance from more senior colleagues. Core tasks include the mathematical modeling of our business problems, development of algorithms and applications to solve these problems, and communication with our internal customers to help them understand and implement the results.

You will be working in an interdisciplinary high-performance team that is focused on innovation in the intersection of business, mathematics and digital technology. This also includes the opportunity to expand your skills in a scientific, technical and business dimension at the same time but also offers an intellectual challenge to solve some of the most complex problems in the industry and innovate on entirely new digital business models.

Your qualifications:
Successfully completed Master studies in Mathematics, Physics, Computer Science or a similar field with work experience or a Ph.D.
Technical experience in some of the following fields: Mathematical modelling (e.g. Matlab, R, Pytorch, TensorFlow), programming (e.g. Java, Python, C/C++), software architectures (e.g. n-tier, SOA) and/or database servers and data processing (e.g. SQL, Spark, Hadoop).
Strong skills in mathematics, statistics and machine learning with software development experience.
First project management experience is a plus.
Fluent in English and German.",4.0,"Merck KGaA
4.0",Darmstadt,"Darmstadt, Germany",10000+ employees,1668,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Sanofi
Data Scientist,-1,"Codepan is a highly skilled & diverse technology team based in Berlin. We are currently developing our first product - Streem.ai.

Streem.ai is an anomaly detection solution that monitors large amounts of data using unsupervised machine learning to provide insights and identify business critical blind-spots for organizations in real time.

Tasks

Streem.ai is seeking an experienced and motivated Data Scientist to help build and refine an automated, real-time anomaly detection tool. The person in this role will work closely within our team of 5+ data scientists and software engineers in a startup environment. You will conduct research, design competitive machine learning algorithms, evaluate them on real client data, and help build a scalable end-to-end solution that is capable of near real-time anomaly detection.

Our ideal candidate thrives in a fast-paced startup environment, has a background in statistics, applied mathematics, or computational science and a history of solving difficult problems in a scientific environment. The candidate has experience in designing, applying and evaluating state-of-the art machine learning models and is comfortable with writing code in Python and working with large amounts of data. We offer the unique and rewarding opportunity of building a product from scratch in a young company. We work in flat hierarchies and reward creative thinkers and curious minds.

Requirements
A postgraduate degree in Computer Science, Engineering, Mathematics or Statistics
Ability to design statistical models
Ability to design machine learning methods and apply them to data
Proficiency in Python
Experience with Github and either TensorFlow or Pytorch
Ability to effectively communicate ideas and findings with actionable conclusions backed by data
2+ years industry experience
Optional: Proficiency with SQL, MongoDB or other databases
Benefits
Competitive salary with bonus options
Team of experienced data scientists and full-stack software developers who are - more than happy to share their knowledge with you
Working on diverse and cool projects in the field of Data Science & IoT
International team with a diverse skill set and background, who really enjoys working together
Beautiful office place in Kreuzberg (Paul-Lincke-Ufer)",-1,Codepan GmbH,Berlin,"Berlin, Germany",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,-1
